resume_idx,resume_file,label_from_filename,expected_query,tfidf_top10_hit,bert_top10_hit,sbert_top10_hit,hybrid_top10_hit,tfidf_query_hit,bert_query_hit,sbert_query_hit,hybrid_query_hit,tfidf_top1_title,bert_top1_title,sbert_top1_title,hybrid_top1_title,tfidf_top1_query,bert_top1_query,sbert_top1_query,hybrid_top1_query
16,Candidate_18_Full_Stack_Developer.pdf,candidate_18_full_stack_developer,Full Stack Developer,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Full Stack Developer,Full Stack Developer,Full Stack Developer,Full Stack Developer,Full Stack Developer,Full Stack Developer,Full Stack Developer,Full Stack Developer
17,Candidate_19_Business_Analyst.pdf,candidate_19_business_analyst,Business Analyst,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Business Applications Analyst - Information Systems, Full-time","Analyst, Business",Analyst,"Business Applications Analyst - Information Systems, Full-time",Business Analyst,Business Analyst,Information Security Analyst,Business Analyst
18,Candidate_20_Information_Security_Analyst.pdf,candidate_20_information_security_analyst,Information Security Analyst,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"LEAD, CYBER SECURITY ANALYST",EIS Shared Services Security Analyst,"LEAD, CYBER SECURITY ANALYST","LEAD, CYBER SECURITY ANALYST",Information Security Analyst,Information Security Analyst,Information Security Analyst,Information Security Analyst
19,Candidate_21_Business_Intelligence_Analyst.pdf,candidate_21_business_intelligence_analyst,Business Intelligence Analyst,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,DDS Spec Proj Sys Analyst V,"Manager, Data Analysis",DDS Spec Proj Sys Analyst V,DDS Spec Proj Sys Analyst V,Business Intelligence Analyst,Data and Analytics Manager,Business Intelligence Analyst,Business Intelligence Analyst
20,Candidate_22_Artificial_Intelligence.pdf,candidate_22_artificial_intelligence,Artificial Intelligence,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,Digital Marketing Specialist,Salesforce Marketing Cloud Architect,Digital Marketing Specialist,Digital Marketing Specialist,Artificial Intelligence,Cloud Architect,Artificial Intelligence,Artificial Intelligence
21,Candidate_23_Data_and_Analytics_Manager.pdf,candidate_23_data_and_analytics_manager,Data and Analytics Manager,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Oil, Gas & Chemicals Data Management Manager",Information Architect,Artificial Intelligence Manager / Architect,"Oil, Gas & Chemicals Data Management Manager",Data and Analytics Manager,Data Architect,Artificial Intelligence,Data and Analytics Manager
22,Candidate_24_Statistics.pdf,candidate_24_statistics,Statistics,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,Human Resources Analyst,Business Analyst,Office Specialist II,Human Resources Analyst,Statistics,Business Analyst,Technical Operations,Statistics
23,Candidate_25_Data_Warehousing.pdf,candidate_25_data_warehousing,Data Warehousing,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,Senior Quality Assurance Analyst,JR SQL Developer / Business Analyst,Business Analyst / Software Tester,Senior Quality Assurance Analyst,Data Warehousing,Business Analyst,Business Analyst,Data Warehousing
24,Candidate_26_Data_Quality_Manager.pdf,candidate_26_data_quality_manager,Data Quality Manager,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Route Manager,Demand Planning Analyst,Route Manager,Route Manager,Data Quality Manager,Business Intelligence Analyst,Data Quality Manager,Data Quality Manager
25,Candidate_27_Data_Analyst.pdf,candidate_27_data_analyst,Data Analyst,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Data Governance Analyst,Governance & Compliance Associate Principal Scientist,Data Governance Analyst,Data Governance Analyst,Data Analyst,Data Scientist,Data Analyst,Data Analyst
26,Candidate_28_Data_Quality_Manager.pdf,candidate_28_data_quality_manager,Data Quality Manager,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,CX - Quality Program Manager,Business Analyst,Quality Improvement Specialist,CX - Quality Program Manager,Data Quality Manager,Business Analyst,Data Quality Manager,Data Quality Manager
27,Candidate_29_Data_Scientist.pdf,candidate_29_data_scientist,Data Scientist,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,Data Scientist,Business Analyst,Senior Business Systems Analyst – Data Analyst,Data Scientist,Data Scientist,Business Analyst,Business Intelligence Analyst,Data Scientist
28,Candidate_30_Network_Architect.pdf,candidate_30_network_architect,Network Architect,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"SBC Media System Architect, NSW",Full Stack Developer,"SBC Media System Architect, NSW","SBC Media System Architect, NSW",Network Architect,Full Stack Developer,Network Architect,Network Architect
